名稱,編號,更新時間,大車位總數,大車位剩餘數,小車位總數,小車位剩餘數,機車位總數,機車剩餘數,備註
國立宜蘭大學停車場,10022,2022/10/27 15:42:25,-,-,400,321,-,-,系統運作正常
和睦停車場,10026,2022/12/05 09:04:39,-,-,159,159,-,-,系統運作正常
宜蘭林森（停五）停車場,10029,2022/12/05 09:05:14,-,-,112,41,-,-,系統運作正常
宜蘭轉運站停車場,10030,2022/12/05 09:05:13,-,-,169,134,-,-,I/O轉換器故障
宜蘭新月停車場,10031,2022/11/10 00:31:03,-,-,277,166,-,-,系統運作正常
宜蘭新月站停車場,10032,2022/12/05 09:06:12,-,-,93,15,-,-,I/O轉換器故障
國立陽明交通大學附設醫院蘭陽院區停車場,10035,2022/12/05 09:04:40,-,-,554,0,-,-,系統運作正常
宜蘭幸福（停六）停車場,10036,2022/11/09 03:03:26,-,-,95,77,-,-,系統運作正常
羅東立體停車場,10001,2022/11/22 01:43:30,0,0,245,172,0,0,
宜蘭縣羅東鎮南門地下停車場,10002,2022/11/22 01:43:30,0,0,500,281,0,0,
宜蘭縣羅東鎮民生大樓停車場,10003,2022/11/22 01:43:30,0,0,275,122,0,0,
羅東鎮公共造產停車場(公所前停車場),10005,2022/11/22 01:43:30,0,0,61,16,0,0,
羅東鎮公共造產停車場(公所前廣停停車場),10006,2022/11/22 01:43:30,0,0,34,11,0,0,
羅東公正國小地下停車場,10007,2022/11/22 01:43:30,0,0,351,164,0,0,
羅東停一停車場,10009,2022/11/22 01:43:30,0,0,66,28,0,0,
羅東停三停車場,10010,2022/11/22 01:43:30,0,0,75,16,0,0,
公正平面停車場,10011,2022/11/22 01:43:30,0,0,45,7,0,0,
北成國小停車場,10012,2022/11/22 01:43:30,0,0,72,66,0,0,
宜蘭縣政府文化局羅東文化工場停車場,10013,2022/11/22 01:43:30,0,0,107,55,0,0,
倉前停車場,10014,2022/11/22 01:43:30,0,0,121,57,0,0,
豆腐岬風景區停車場,10023,2022/12/05 09:02:01,-,-,47,47,-,-,系統運作正常
蘭陽博物館停車場,10038,2022/08/25 16:06:36,-,-,145,0,-,-,系統運作正常
頭城鎮大溪漁港停車場,10037,2022/11/09 03:03:08,-,-,163,0,-,-,系統運作正常
礁溪鄉公共造產地景廣場停車場,10015,2022/11/22 01:43:30,0,0,47,29,0,0,
礁溪鄉公共造產水景廣場停車場,10016,2022/11/22 01:43:30,0,0,42,13,0,0,
臺鐵礁溪站前停車場,10017,2022/11/22 01:43:30,0,0,67,54,0,0,
礁溪鄉公有立體停車場,10018,2022/11/22 01:43:30,0,0,253,142,0,0,
盱江新村停車場,10019,2022/11/22 01:43:30,0,0,46,21,0,0,
礁溪停車場,10020,2022/11/22 01:43:30,0,0,40,12,0,0,
龍潭湖風景區停車場,10040,2022/12/05 09:04:39,-,-,119,0,-,-,系統運作正常
五峰旗停車場,10039,2022/12/05 09:04:40,-,-,166,166,-,-,系統運作正常
中興文化創意產業園區停車場,10041,2022/01/06 18:19:01,-,-,61,50,-,-,I/O轉換器故障
冬山河生態綠舟停車場,10042,2022/12/05 09:05:06,-,-,120,120,-,-,系統運作正常
嘟嘟房宜蘭中山公園站,10024,2022/12/05 09:04:29,-,-,92,49,-,-,系統運作正常
宜蘭宜興（停一）停車場,10028,2022/12/05 09:04:50,-,-,52,51,-,-,I/O轉換器故障
嘟嘟房宜蘭傳藝中心站停車場,10043,2021/12/30 08:08:58,-,-,746,746,-,-,系統運作正常
宏達經營管理顧問有限公司梅花湖停車場,10025,2022/12/05 09:04:51,-,-,209,209,-,-,系統運作正常
